id,name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
No.,ja_JP,Seto Inland sea,Tokyo bay,Sea of Japan,Hokkaido defense line,Taiwan-Ryukyu,Yangtze Estuary,Iwo Jima,Sea of Okhotsk,Attu,Bering,South China Sea,Strait of Malacca,Java Sea,Sea of Philippines,Guam,Truk,Marshall,Wake,Midway,Johnston,Pearl Harbor,Andamans,Bay of Bengal,Ceylon,Arabian Sea,Mauitius,Zanzibar,Suez,Cape,Western Australia,Rabul,Solomon,Port Moresby,De Gaulle's Fist,Eastern Australia,Fiji,Samoa,Easter Island,Hormuz,Unalaska,California,Galapagos,Panama,Magellan Strait,White Sea,Gulf of Finland,Black Sea,Barents Sea,Shetland,Iceland,Northwestern,Baltic North,Baltic South,Øresund,Aberdeen,Juntland,East Channel,West Channel,Ireland,Bay of Biscay,Portugal,Azores,Canaria,Bermuda,North Atlantic,Newfoundland,Eastern Seaboard,Gibraltar,Balearies,Sardina,Sicily,Malta,Adriatic,Crete,Cyprus,Bosphrous,Gulf of Mexico,Victoria,Baja California,Bahamas,Trinidad,Capo Verde,Ascension,St Helena,Malvinas,Brazilian Coast
16384,ASW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16385,JP-0,1,1,1,1,,,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16386,JP-1,2,2,2,2,,,2,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16389,DE-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16390,GB-0,,,,,,,,,,,,1,,,,,,,,,,1,1,1,,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,1,,,,,,1,1,1,1,1,,,,,,,1,,1,,,,,,1,1,,,1,,,,,1,1,1,
16391,SU-0,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16392,FR-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,
16393,IT-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,
16394,US-0,,,,,,,,,1,1,,,,1,1,,,1,1,1,1,,,,,,,,,,1,1,1,,,1,1,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,1,1,,,,,,
16396,US-1,,,,,,,,,2,2,,,,2,2,,,2,2,2,2,,,,,,,,,,2,2,2,,,2,2,,,2,2,,,,,,,,,2,2,,,,,,,,,,,,,2,,,2,,,,,,,,,,2,,2,2,,,,,,
16401,ANTILAND,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
16402,JETGUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16404,SW-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16415,AVIATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16427,NIGHTPLANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
