id,name,name,name,attr,attr,attr,attr,attr,attr,attr,attr,attr,attr,attr,attr,attr,attr
ID,en_US,zh_CN,ja_JP,x,y,O,E,S,A,R,W,C,openstreetmapx,openstreetmapy,diffC,diffB,diffA
1,Seto Inland sea,,,4894,869,,,,,,,,215,100,1,,
2,Tokyo bay,,,4986,836,,,,,,,,220,98,2,,
3,Sea of Japan,,,4910,729,,,,,,,,213,93,2,,
4,Hokkaido defense line,,,5063,629,,,,,,,,218,90,3,,
5,Taiwan-Ryukyu,,,4743,1016,,,,,,,,205,105,2,,
6,Yangtze Estuary,,,4733,886,,,,,,,,203,100,3,,
7,Iwo Jima,,,4985,963,,,,,,,,217,105,2,,
8,Sea of Okhotsk,,,5139,361,,,,,,,,222,82,2,,
9,Attu,,,5500,414,,,,,,,,240,79,4,,
10,Bering,,,5617,50,,,,,,,,-8,73,3,,
11,South China Sea,,,4593,1190,,,,,,,,198,114,3,,
12,Strait of Malacca,,,4422,1386,,,,,,,,188,121,4,,
13,Java Sea,,,4633,1508,,,,,,,,195,127,4,,
14,Sea of Philippines,,,4816,1237,,,,,,,,210,111,3,,
15,Guam,,,5075,1206,,,,,,,,219,114,3,,
16,Truk,,,5177,1279,,,,,,,,224,118,4,,
17,Marshall,,,5453,1264,,,,,,,,238,119,3,,
18,Wake,,,5439,1088,,,,,,,,235,110,4,,
19,Midway,,,40,955,,,,,,,,-10,103,5,,
20,Johnston,,,192,1141,,,,,,,,-4,111,4,,
21,Pearl Harbor,,,395,1046,,,,,,,,4,108,5,,
22,Andamans,,,4287,1204,,,,,,,,183,115,4,,
23,Bay of Bengal,,,4195,1071,,,,,,,,179,113,3,,
24,Ceylon,,,4082,1286,,,,,,,,174,119,5,,
25,Arabian Sea,,,3769,1207,,,,,,,,163,113,4,,
26,Mauitius,,,3856,1630,,,,,,,,157,138,4,,
27,Zanzibar,,,3443,1491,,,,,,,,144,128,4,,
28,Suez,,,3314,900,,,,,,,,140,101,5,,
29,Cape,,,3085,1985,,,,,,,,130,149,5,,
30,Western Australia,,,4504,1815,,,,,,,,198,143,2,,
31,Rabul,,,5152,1461,,,,,,,,225,126,5,,
32,Solomon,,,5286,1533,,,,,,,,230,130,5,,
33,Port Moresby,,,5067,1553,,,,,,,,221,130,2,,
34,De Gaulle's Fist,,,5399,1711,,,,,,,,235,140,2,,
35,Eastern Australia,,,5221,1818,,,,,,,,224,148,1,,
36,Fiji,,,5598,1716,,,,,,,,243,137,3,,
37,Samoa,,,153,1672,,,,,,,,-6,133,4,,
38,Easter Island,,,1325,1666,,,,,,,,39,144,3,,
39,Hormuz,,,3685,965,,,,,,,,156,104,3,,
40,Unalaska,,,212,226,,,,,,,,-2,78,5,,
41,California,,,855,560,,,,,,,,31,96,2,,
42,Galapagos,,,1284,1121,,,,,,,,53,124,3,,
43,Panama,,,1571,1033,,,,,,,,60,117,5,,
44,Magellan Strait,,,1737,1992,,,,,,,,67,168,4,,
45,White Sea,,,3384,176,,,,,,,,144,62,2,,
